guid,Retrofit_Cost
922b1787-7eee-4454-b0c9-465b6b083ac7,170846.55
4235e132-7ffc-4d40-9585-0d7db6109684,262866.87
82372470-863d-4927-a808-79b021d51176,152352.27
efbb8033-aeb6-4a6e-ae5d-6f480253a8bc,461787.78
0fc52e02-5e55-46d0-9375-ac52a6514d8d,382732.43
103892c6-0ffe-47db-a2a2-483ecb747d0f,224299.53
af827056-ce63-48fa-bf2a-d8196430a6d6,121678.83
a54deedf-c750-4663-8f47-0812babeb6ca,104274.66
8b87df50-4245-422e-ac0c-b538e195df7b,256777.29
0c36d6ec-f0f3-42b7-a4f5-35313b9cdd14,366137.34
183c3ae9-091a-495f-9e74-034e0fc5c678,24358.32
b9f22ad7-05d2-441d-a232-a11968e16023,436829.81
81370ab1-e4b9-4dc5-b5a7-a74739117238,50520.96
651b986e-cb91-4f17-a21c-6fad6db49c41,115927.56
0a0dad8c-6133-46a9-acb0-eb00f0a3938e,119171.04
7fabdfcb-8d61-49c8-94c7-37432f38b5b8,356859.77
fe9f9dbf-fd06-43f8-a9a8-23276855424d,142992.36
e2a0c422-73c9-4c8b-b42e-f303f709eb9e,298972.96
ba212f5d-c34f-45f1-a2b5-2ef6d653004e,101154.69
1d777f2e-e365-4eb1-9992-dc78009d1456,114989.6
51520425-b3e8-406f-a726-72b861a5d5ea,92020.32
66bcd6e7-2f8c-4e77-b2d2-bf7213c05cd5,266701.05
a48c29e6-7124-4432-b4d9-2307b797a64d,216067.32
5d6d45a6-6476-4cde-8407-6ffdd6b934f1,202986.0
652ce3a4-fd99-4acd-b638-8bc5cc332be9,213022.53
258e5f37-0062-49ac-b879-381b4a924d42,296620.9
a3c2aef3-a371-4bf5-b3c0-2109fc68bc3c,211782.06
23fb1d56-9c10-43e5-9958-9ee90a51a53a,94162.95
d6402b5d-3679-432b-953a-13262d1e8589,263430.72
1e856cc6-e634-4190-9504-366f8bf078ce,143105.13
92e4d2a8-a2d5-4b7f-b7d9-a9ec72f25e5a,233321.13
4a6d7ea7-4a2a-4b07-8baa-94b80f43d2d3,300802.34
77171735-e332-4c91-ab06-300d2877ce06,242229.96
79b1ad8b-ec10-448b-b0af-a39b8d929e0c,374500.22
7d933026-f462-44f9-84a9-cc112f17c009,174906.27
0e7a13f5-6cee-4fa5-8c88-0695863e5ef9,273692.79
607fccca-daca-4dd7-acd9-127d58dac3e8,380380.37
d04a6730-2fc5-40dd-9928-bc745528cafd,183138.48
0b53af41-d939-41a3-a324-4c3a1100cb3f,121791.6
637e1290-e6c0-4841-84c4-181d00908788,296882.24
65df9ff5-17b6-4a39-acf0-ff9ffea3de29,47137.86
d6a6c0e6-e596-4755-8871-895499a51c45,39243.96
985aaef7-4681-4694-83fa-25b23cd18aea,367630.2
5a1b004f-bb09-4d7e-895d-50d65cb7e102,485439.05
005c10a6-876c-450f-89e6-6ee3b2399adb,316482.74
66282e26-fc30-471a-ad65-649785704f75,349672.92
7d373719-49f0-417c-8888-06f9278d1fd5,260686.65
28b8a59a-4def-4776-85e1-8b4db932d413,451203.51
93afe769-f8af-4781-ae88-22c6e82cf234,50046.61
0f854450-203f-46f5-9a5a-3758e7ada6f9,307411.02
c9967a86-baaa-4980-b812-0f6f1dbcc1e3,197685.81
8b1e8ac4-c548-4648-9531-fa895a9fc856,200505.06
66618213-8f64-47aa-a2b2-ef9639f9daa6,185393.88
d8af0cba-aece-4bf6-8fd9-692342f2bac8,127011.24
9796a218-d92a-432d-b50a-c4cca1bbc6d2,322362.89
32d254cc-1f74-42cf-85e3-dd2bd3aa7d59,172650.87
11278da5-4c34-408d-877d-ff8d344f97f4,357142.59
98f8abba-df5a-4ae0-8624-022383ce676d,249785.55
cf5bc313-8dc8-40f0-a3ef-c17c1ef2df11,562271.22
215c5422-52d7-4361-8bbc-cd64ef1f6a89,559920.95
19c052b2-d8e7-440e-ae2b-d4ce131a9819,243176.87
e330d3fd-13e4-40d8-8f17-5d14004494c0,465577.21
5979ac22-5a31-40d5-8961-462c1365fdd2,140078.24
0147f965-60ce-428c-bae1-5a268e2f4fe2,88463.59
5a184e4c-75a2-4dc4-b259-db27f01e039d,139609.26
58c09357-c5e9-4dda-ab47-57c813974c78,274707.72
75901380-0e3c-4eda-83b8-42326663989d,285420.87
248c7364-a149-4262-ab5b-1bdca005cb03,524117.37
ac7ebf54-99a8-4f3f-aeb6-bcd01e75f4ac,545024.57
10f2c442-6e23-4b38-84c1-4a244fbc3c8d,395146.08
e7702caf-16de-46d8-a831-c69d521b216d,297261.72
b2db3c32-ef0b-438a-8a64-8aadac5f8493,364307.96
ba5b995c-0d8b-4127-a22a-9dcc9fbfea0b,374238.88
301d062f-0a3c-4195-832c-31e1c7dbb42b,505823.57
1fe5bdb2-9715-4507-8f1b-4c6695a6c125,152230.55
78903bb3-2b3c-4c9c-85e2-d533c5f4b4a6,89378.28
d37361c5-b10a-43b7-a285-7572c3452927,105214.41
e4178884-f1d2-4bde-89cf-0bfddb95d37b,52438.05
c1c21b6e-c107-4305-97f2-62dc7244849c,55933.92
b1ff3932-1d63-4ba5-85bf-8c3fa92798c4,257158.56
430b5bf9-7a35-45ad-8a18-a27fe16c27c2,543195.19
199773a6-2555-4013-becc-647ba0b88ec0,399850.2
8563b533-a739-4f62-b1dd-ebadc655ff0a,180432.0
47720040-3912-41f0-8d66-57d58e03d95d,175244.58
159ff34c-7a50-4d55-b989-2d6635cf8ea8,223707.04
e64c8115-8a80-4c13-beaf-adc1bed8fa40,361563.89
f46f4836-978f-4710-9bd3-c006a0db8d3d,610882.25
ffef6580-f124-4d15-af4d-b73df3a03305,80856.09
7e9a8fd6-06cb-48d5-a113-3392e98809b7,322362.89
6de58d25-e50b-4186-847b-85443eef443c,541757.82
3d4e71fd-d1ca-4c7c-8339-0c7a35c56656,604871.43
c2f3122c-128d-4d8d-87f2-9dac99b197f4,464662.52
7afb40f4-17a0-4dfa-8099-4f9626b907a5,293089.23
b6bbb1d1-1620-477e-a6c9-c0713b90cb16,259641.29
1f3c2135-315c-40bc-a0d1-8895c20bfdee,469758.65
729dd9ff-1bae-4979-9884-f1f842c72b61,180455.27
1064d175-8edb-4951-a08f-a332d1d709be,533656.28
531a88eb-3e80-4b66-833f-29233b8b6026,343792.77
5f407cca-5e27-4eb5-9365-a8929c115119,245006.25
41100a0b-c61a-4d93-b224-57acf06ecd2a,388089.9
9e5f8135-6ebc-4507-8907-c4900782125f,30968.79
08d4f9c7-419b-42db-b3a2-00f09d9dd4ae,354246.37
99268ab3-c095-41d2-b085-b06376d356eb,271401.59
d26f2201-b489-478d-9d3d-24e3fd6a7cef,363915.95
044158b1-04a0-4b1c-bfd3-f5c84884cd51,345622.15
86fcb1a0-9652-48b6-b26f-c4a94682db57,318834.8
d2371645-6ebc-4e2b-be93-6f4257c0b4db,260686.65
6820c384-8f27-4f35-9fcf-f568d7fa5e3c,462310.46
1aae7519-b07b-4010-9c69-77cdb87e5b50,307074.5
b7090671-7e7b-4199-8537-d59057fba1fd,296751.57
09fb8e29-be49-47ff-80e8-59023e946691,327720.36
