struct_typ,guid,retrofit_cost
URML,bb46b5b7-057c-480c-b7d6-c457b818f095,311807.23
URMM,01fa87f6-02ca-4f37-88c9-7d3792e4e05e,311140.23
URMM,4a4cf82b-fea9-4d7f-84e4-1b630501c442,309687.23
URML,9bfe6f73-443a-4a99-9a34-55aebe40b147,309328.23
URML,ee39496e-4a62-4e51-99bf-6e9e0471aa8d,309185.23
URML,2ea59efe-37b1-4be0-848d-09cb4c349e3e,308171.23
URML,50950723-bdab-44e4-ae18-6e23fbd5ce32,305895.23
URML,6e776c4d-4e84-4575-8ba0-cafaf9946616,305100.23
URML,d46ce2ae-b1fe-4b40-aacb-5b47e4266c41,304845.23
URMM,4c4b2e15-dce1-4341-8667-c1b2376671d2,303503.23
URMM,8136a52e-4868-41ad-b05d-519155ae80b6,303270.23
URMM,48080e95-cb46-4026-9202-1106e5b166c1,301679.23
URMM,56284584-09e4-4fff-ba88-9438e3e170ca,299737.23
URMM,ee54a6c4-85a3-4b10-b375-45c4b5d4c3f3,299637.23
URML,6b096018-ea8b-4f05-915b-b888b964672d,299446.23
URML,911f2872-580c-436d-98c0-18d9782bcf02,298664.23
URML,1ab3d2e3-43f7-4b11-a687-a40059abace1,298651.23
URMM,117da46d-c4dc-4aa2-9c4e-b9d0e5eccffb,297738.23
URMM,331e8e33-1e4e-4a22-8ceb-62720d53bbb8,294965.23
URMM,6534a935-eef3-4328-b113-bd79707b05d8,294158.23
URMM,c0a1c92e-d0cf-42f8-9b8d-c2316b717800,293438.23
URML,9d21fce7-7a57-4b7b-a9e3-5f1bc8bd79f4,293242.23
URML,9461cd66-e22c-4c8c-9f5b-b5e99a220e05,292777.23
URMM,fcbe7f1b-641d-41d7-a857-6c66d17c93c3,292568.23
URMM,2a20d676-8ee3-4b33-8315-4aafd2f2ed3f,292165.23
URML,cab19098-54a9-40be-9dba-6d529e8f638c,292144.23
URMM,64f45c5c-5060-439a-bdf7-374781c5a8a5,291691.23
URML,ed6a5d65-556d-4330-a7f4-889d84a1d2c4,290857.23
URMM,4d11284b-aca3-4565-a2b0-42798a782ec3,290751.23
URMM,9a5feeaf-b335-4fcd-9b21-5c11f1fc2334,288147.23
URML,ecc8f4ab-0600-4089-8651-86b1d630684c,285849.23
URML,5b35de08-19f9-43fe-a812-563c3fc5a9ee,285256.23
URMM,c494ed6c-aa24-4f94-a6a6-fe4883237e4a,284960.23
URMM,f1769c92-3fad-48f3-8ccb-19389a789748,284570.23
URMM,5d813ede-f627-4c83-9bba-57f4e3daafcb,283774.23
URML,c0eb680d-7828-4dc7-8147-330c3cc986a1,283665.23
URMM,c31ffa3b-4b89-49b7-a0a8-09b699c432a2,281601.23
URMM,2c028b67-35df-4b82-bf08-5fb484b705c0,281500.23
URML,efdd5754-f213-45ac-aafa-c8f59c56d9e3,280933.23
URML,84f324f6-843d-468a-86b2-f249939f1225,280434.23
URML,c31783fc-31f1-4074-918c-5d25ef7a26b8,280290.23
URMM,0cf4a7d2-cb8d-42b7-bf64-d12f6de9b99b,279914.23
URML,ad1364db-817c-493f-8330-0f21e1fa4dfe,279468.23
URML,30360608-c594-4cce-b0da-42fc5c587fe4,278988.23
URMM,ba8b32c7-957e-4b20-a206-7c7e2ef1a48f,278371.23
URMM,aabec339-04cf-4ce9-b1f0-862135495f2f,276829.23
URML,8ebec200-f6ac-4321-a253-f77e4331d9fb,275523.23
URMM,11668aa9-cea7-4f5b-8015-cb7294138509,273022.23
URMM,2a341d31-4b6a-4e1e-8576-edcdf4f4923d,272352.23
URML,60493c9d-2677-4f45-89c5-0cf19e057391,272198.23
URMM,1d41a3d1-8843-41c4-b90c-d104f76c6cf8,270730.23
URML,ec4bee90-e540-4c5f-9d0c-5881bcad8487,270607.23
URML,b425bcb5-667c-4f25-9d1b-d373f68c2cf8,269960.23
URML,2ca9f633-8f0d-4b31-b7e5-1c0eba1f6855,269802.23
URML,59098f08-4298-48ad-b8fb-7b39f7534959,269077.23
URMM,c0d4d688-ed63-4a39-a735-119fb4c7482a,269027.23
URML,b304b103-3cdb-4364-b0be-25c1902d5ea7,267272.23
URMM,016cccac-2d17-4138-a95b-d91661411398,267226.23
URML,3c8362f4-1e65-41e3-92f6-1831a132caed,267081.23
URMM,5cf0ac9d-13a4-4b54-83c3-45dd7f35640f,265122.23
URML,814d31f6-34c4-4ae7-b476-42d9c77a2e7c,265064.23
URML,f96944da-1121-46b1-b3c1-e4c735911781,265005.23
URML,be00c880-7777-4398-8edf-b759b4e391af,263571.23
URML,fbcc3b26-03c1-481a-a0f7-b5f80faafc8c,263160.23
URMM,94f1a26c-b116-4df3-bac6-4e93de7ce228,262946.23
URMM,cec6f4ac-b87a-475c-81c8-9f6935df80d4,262261.23
URMM,a1164bf4-d120-47a8-84ae-307eccf936ab,261940.23
URMM,dcd6d2c3-1921-4490-a8b3-a19cbdf2b86c,261688.23
URMM,17adfde6-cad4-47f8-abe4-081ed7a7fad2,261116.23
URMM,fc322bc9-118a-4f84-852c-8f8015af2747,260671.23
URML,af40479c-30f5-48a6-8ae2-f6315ee7f62d,260609.23
URML,48e84140-a554-4901-8d4c-694de433f5f9,260542.23
URMM,01eaa779-4475-4ce4-b1fb-bec19bfda097,259893.23
URML,b0494375-0814-470c-915c-124ecf7e7502,259880.23
URML,95e29e2c-5011-472b-9660-08ed9dc5bc5c,259018.23
URMM,dca24d16-f6e0-44e7-ad6c-20f9851f334c,258207.23
URML,140b3b34-5e55-41aa-b328-f010a819f7a4,258078.23
URML,3c1b8a44-8998-4902-9f4e-17b5521e9465,257859.23
URML,a702afd3-1207-4793-a34c-48c003238a5f,257761.23
URML,9d3968bd-9e15-4e97-a4d5-e70de7161901,257217.23
URMM,f6fcba4d-7e1e-4e14-8cbe-f518658958da,256682.23
URML,3b2a6647-0c0c-4bdb-9875-e3e5945c0e61,256268.23
URML,b4fbf1da-ee8b-4ad5-8753-de01ff0cbafb,255738.23
URML,d78e036b-aab3-4ee6-b586-b7aff9c8c7f2,254832.23
URMM,6b607e5a-5904-4fb3-a682-044a650b793f,254702.23
URMM,6480bf29-2bf0-4145-84ac-af79d0b7322b,254681.23
URML,a1e0e38a-957b-433b-97db-8defec474321,254102.23
URMM,32b2f9f7-d0b1-4a47-9523-26c158cf25c0,253503.23
URML,fb520424-163d-4661-9397-692df8649dd3,252943.23
URML,46524090-42d9-495c-b40b-7705b949a70b,251808.23
URML,fc3c7b0a-7f37-440c-bca2-6980ba5d8eb4,251619.23
URML,05569c3e-f029-4918-a195-c466560ea985,251428.23
URML,260422d0-006f-4f34-9bce-1c15280a8b23,250606.23
URMM,f30e6253-f141-41d8-87c1-50c29d2dfe99,250461.23
URML,3bf82557-7665-42aa-a278-1b9a5b25ec02,250307.23
URML,5f9f9d8b-2112-4581-a53e-702f4b701e8b,250119.23
URML,848b151d-cf60-409a-8f26-04e7fef96754,249812.23
URML,1f4f1779-b983-41af-9ace-d342571cc917,249767.23
URMM,702d4a13-fec0-4631-8675-3c4e7a5c405d,248592.23
URMM,60247347-4d8f-4dee-9108-6769e5a77eab,248535.23
URML,c515a4af-3dbe-44c4-b566-3c2e05e3cd65,248138.23
URML,14358ca7-4b3c-4d56-b56a-3af1b21239a0,246558.23
URML,1f23292c-e2fd-4e58-b487-58c4a2a0611e,246511.23
URMM,58297e4f-1ad3-4265-94c3-915acd8d585a,246203.23
URML,f8124cac-7b6b-4df2-82c8-1772e64861c5,245969.23
URML,0a5fc310-9aaf-4d90-b002-e9333d040756,245783.23
URML,87bfa756-000c-46b7-9ab5-4d780a33a585,245716.23
URMM,9f1378de-020a-4c46-bec2-40344b9804c5,244583.23
URML,5bcfb6a7-1b97-4171-9801-9aa75eb0a8f4,244125.23
URML,942318d8-999c-41ed-86a5-20089d42eb14,243769.23
URML,cfb2a2a6-ab7c-4541-957b-43e32d17bf3a,243281.23
URML,5b7a5451-52bd-4e75-9a08-5928755002b6,243222.23
URMM,b3f288c9-22d7-42b4-888e-624626b95f3f,242818.23
URML,71df26d7-4b97-4fe1-ac4d-59d9f2de0e81,241140.23
URML,f0587021-979d-4086-af5e-78bc06c1aa80,240996.23
URML,66994f3a-bff9-43ba-a34a-05cd496abc2c,240004.23
URMM,49517f1f-e1e3-4fbd-a45b-1374152086f8,239636.23
URML,0c94df43-6358-418e-9e95-38f060578e94,239420.23
URML,dca3abbe-65a5-48c9-add6-20942620f321,239105.23
URML,abd78efa-6338-4e9b-84af-cdd7565bcde4,239101.23
URMM,74b48e0e-f3b0-4bb9-ae1c-fb84b975be05,238912.23
URML,d126c941-b4dd-4465-aca8-4ac8f1a8bec3,238609.23
URMM,2c0de3c4-68de-4f9f-9442-93ff1f59945e,238046.23
URML,5590171c-f5b9-4ca0-a1da-5af0ff6e0ab7,237741.23
URMM,726409dd-7887-49da-862a-2470c0f4e7fd,237724.23
URMM,29570ec2-3783-4aef-a367-966e251adb2d,237570.23
URML,32e0de91-0119-4e06-9aba-464897bab12d,237019.23
URML,394d1b13-183d-4613-a66d-8baa7ad3fdb8,237019.23
URML,62978b94-0234-4f6b-9cfd-527179f96588,237019.23
URML,0a285ff1-c5f1-41f8-bb72-692ab71f4902,236627.23
URML,964f4d8b-f762-4f09-9a1f-519a572e2924,236080.23
URMM,f8f572ee-bc1a-42aa-8f2b-152a1ecfa936,235301.23
URML,dae77f54-a51f-4813-aecb-f3a667c632c9,235291.23
URMM,e09ba674-ce5a-410a-9b9a-5b240c7c339b,234912.23
URML,cd27fc20-69d5-4485-9611-f5b906337788,234489.23
URMM,632c47cf-778d-4c70-91fa-8db700b4e005,234117.23
URML,f6f3486a-f277-429d-9b75-630d056acafb,233807.23
URML,78b75608-7559-42d7-8078-87f93ac7cfa2,233694.23
URML,b9e261d8-b9da-479b-8e12-5a1914c42e6c,233647.23
URML,af3791ec-a89a-40d7-a0dd-2c90f087b2cf,233450.23
URML,6ed2c1f8-bf5c-4807-a591-4314e7b0aec0,232761.23
URML,f0376c66-b80c-4988-8448-0cb9fff24e56,232445.23
URMM,c264c376-f9b4-4578-a933-9c97176e0c92,231570.23
URMM,678c33c8-6679-465b-a2a5-1a9994ceb702,230791.23
URML,ee793546-138b-433a-97fe-e56e59c4fcb9,230375.23
URMM,0a85a925-5ba4-4a00-acd5-18bc47f06d70,229933.23
URML,08ac7380-0685-4d00-83b9-3c1928f3d2a9,229721.23
URMM,efd8b2ac-3d10-43f4-890e-af34b6bc52a3,228935.23
URML,2a2173d4-c360-4990-a501-b23a1f826470,228730.23
URML,d83aab72-e6ee-4896-a9c8-d53c876d062f,227829.23
URMM,73500332-1c5c-4ca4-8ee1-43befdb6dfac,227118.23
URML,9f2609b5-56f4-4d8b-88d1-34fc77247ad4,227049.23
URMM,467f5c0e-292b-4318-aec9-eabf661b5346,226475.23
URMM,719b4f0c-5f9d-4493-88e4-67a8a78597f3,226443.23
URMM,81b6ec17-01ed-4ff6-afa3-b9d7b3bc96fb,226355.23
URML,0e60387c-d423-4cf6-b906-45fbec79b4a7,226344.23
URML,5b601375-2f88-44c7-87e3-b0010b49037b,226141.23
URML,2eed4835-aced-4935-a52e-7c82b8001162,226109.23
URML,9ac87cb0-4a63-4d20-bf3c-187e2f2ce9f3,225404.23
URMM,905bbb13-0b01-4bfe-92f1-541e2a6af170,224957.23
URMM,dc349c0f-dd1c-4351-8671-a11904bdb0dd,224944.23
URML,98a2003d-64ac-46b3-a590-022aa21250c5,224625.23
URML,966709d8-2e5f-411f-82dc-1fd6dc324a49,224354.23
URML,ed198f75-aaaa-44bc-b6c7-25d20f6bf8d6,222928.23
URMM,38108a72-5b8f-4be4-98f0-14b827111136,222647.23
URML,e396e6f6-6a85-4f0a-b5a6-b6e19a857313,222528.23
URMM,b6a43d24-55df-4be0-aefc-9e0d4ea2b639,222388.23
URMM,d68f14a4-e50a-4a12-862c-23ae17fde791,222193.23
URML,9904f68d-de61-45c9-895f-c401131a5aad,221993.23
URML,986e5a3a-96c1-4cf7-86b5-9a5389b2a821,221706.23
URML,78614642-c06c-4985-822e-94fb84a2bb1b,220078.23
URMM,c8ae19ef-f454-4fc3-b4ae-cfd632497afe,219777.23
URML,3ce3f620-11db-4de1-8b31-7057f0ec4df1,219761.23
URML,44b1f8b1-4e14-4dea-8434-d55e9db684fc,219606.23
URMM,3b8e395f-0a96-4eb0-9aed-7060e0c9a4d9,218803.23
URML,a34d7ee0-6b5a-4b4e-ac6a-89ddff1d9f7e,218601.23
URML,2c7b4536-051c-444b-b636-da71e6171550,217216.23
URML,a1dd304a-be56-45af-a6de-c81f1bb65405,215790.23
URML,fa2cd2c5-4f35-453f-aadb-e196a4bf15cd,215526.23
URML,cb0ba892-fb98-4f22-85ec-a001516fa798,215217.23
URMM,75e42558-9876-462b-8e4b-88d6b2426962,214261.23
URML,712ec02f-23de-40f2-8cb1-db92c6ecf4bc,212460.23
URML,4f5473a8-6769-4a49-9ea5-b08c10fe90d5,212293.23
URML,31e4db69-f75c-4398-81c5-92e3b375fd23,211498.23
URML,1ae39ad6-7c41-455e-8fbd-7ed6fa992c12,211441.23
URMM,ca09a842-4d41-46b7-bad5-2ed2ef722f6b,210675.23
URMM,69be5d30-6c05-4f43-8e0a-cb85156b5ce7,210284.23
URML,70625857-f263-4d42-81d0-f14511721a1c,210180.23
URML,ffaffaf2-8775-415d-bbc2-6f5bb0a4861c,209855.23
URMM,2ed45db0-c021-49d1-83dd-cf3bd01538b7,209184.23
URMM,81820e0c-3d78-405c-a68f-1cca0bf36f09,207864.23
URMM,6c6947ca-2f34-474a-954a-47e3c8112b74,207041.23
URMM,897363b5-fb52-45ae-91b7-590a41bade18,206867.23
URML,c5852973-bbd8-4ade-9040-23f759611463,206307.23
URMM,6c3d8899-0c46-47b0-b6d7-0a1eeb64cac6,205955.23
URML,0ad92fb6-30ca-404e-b13f-f4a3b16771dd,205914.23
URML,ad2a8e66-3497-4c3d-8584-b9bf16bd92f5,205890.23
URML,8f0d382a-c169-4266-9639-a09d8900db40,205832.23
URMM,de7a9fef-82bd-41c6-bb16-573f344f3acd,205507.23
URML,9f6a13a1-c34a-4d04-b994-ae8fb69b8fc3,204998.23
URML,10499e0b-a39d-4b90-981e-87794642fc7e,204889.23
URML,40a846a2-29c6-4e46-bcfb-8630dfb92815,203959.23
