guid,Retrofit_Cost
3319d8d2-3e3e-440d-8c63-f91d10fda5ba,47082.23
019150d0-c1c3-4c4c-898e-6b7e0f3408e4,24717.23
64f45c5c-5060-439a-bdf7-374781c5a8a5,291691.23
0c1f1e67-24af-4acc-84ac-e382880bced9,18179.23
a967b6fe-986b-480e-bbfd-1e957c0a5064,47948.23
51c37729-20c8-4773-97fd-03acc29dd370,53338.23
1d13feb5-70f7-4c9f-b2ce-f29c97e76588,19833.23
a912ec2a-0663-4668-a8b9-2a96b2f5f7a3,32963.23
e892aa06-4671-4aa7-b8e0-7bf33c2cb2b2,39786.23
71759050-15dd-4833-b492-8b59f3cc65ca,24409.23
7c8e3ec1-6974-46fb-b620-237501e4d4d7,17756.23
4334e47f-8d33-4f8a-90c4-a6bd61977e0b,36348.23
dacdbc82-6342-45ea-a962-ffa2e806d845,48395.23
1af9ee82-8562-4274-932f-06da823209d0,74207.23
4cb5c64c-ddef-4f13-a9ca-f74e422c3e23,86375.23
11f17699-64d5-4398-8caf-3781e86c198a,36483.23
e1d8cec5-204c-4d01-a34c-518fa4ca76f2,23830.23
8a89b720-517b-4061-976c-ad33cce1f1cb,31534.23
37e5db40-9284-446c-91fa-b07e8935b42a,37771.23
89a907db-043f-4553-b3a4-5ba329806ccb,26138.23
ae029039-1a6b-452e-baff-36900336eb2c,32316.23
7917c6f1-89a3-46aa-bfa9-b020eea400e7,31889.23
d53a166d-f573-4636-8c80-b4ad1cd34dde,22936.23
7eb190a2-0715-4891-88a9-000f68ad7a71,22936.23
4ee85b5f-5877-4cb7-b34d-d5f723f27118,23970.23
d729bc23-f187-464f-a928-ba1cbfd74953,18667.23
1856f3c9-e6ad-4b39-a53c-f578bde4abc0,19770.23
8f6756cb-80f4-4f54-822a-ef5634fed3ee,19223.23
1e659f69-bc8e-4a68-b652-06bb8c379ab1,19257.23
9ea27e04-5e6b-4f1a-aed1-4272687ed60a,51985.23
8cc13588-832c-4abb-bde0-01f8ebd60aa8,26649.23
8e42f265-258a-4f8d-921f-c09ec6d4c163,22872.23
010ba099-8cea-4aaa-b314-4df044419a3b,26054.23
4d68b2de-ca33-40ea-90ff-2ba7b0141bf6,24896.23
e3840d63-bd76-4f7c-8d0a-e8febfab9c9f,13202.23
1a56d9db-dfee-4d4f-ad7b-689a67108d4e,13998.23
34c46cdb-9194-4185-8c83-8397d0b2a07c,43902.23
2f127ed2-2552-49d1-a7cd-47fabe38615a,66192.23
30bff0b7-4933-4716-8b89-1ee0d83d56b7,43399.23
3ccc4f1b-60d5-433f-931e-35658b5d4476,54866.23
86edf839-baaf-4f36-a3b7-0a6bbe6fa4d1,49753.23
fd71fa72-f202-4a80-b034-39ef8608443f,43734.23
a30a72e7-103a-45ac-952d-281dd9797a11,38819.23
c2368dbd-50ec-4d78-9f1e-5ed3fb869675,42000.23
74d30c6f-6ff9-43b7-be51-c996200ddbde,41204.23
55bd1b4c-318c-40b2-99ac-7cd5d3d360aa,25701.23
d0c17a10-0933-4ecc-94d0-2cff45450fb8,38392.23
eb5f2b93-3a07-47b4-adc6-946270f2b609,53468.23
84c9c887-62bc-4c04-b4d4-a78757a13a58,19043.23
f4eab2a4-c0d0-4449-b85e-6a1afcd6aa5b,23423.23
8162bfd0-5ca8-4f78-a356-d3a9b9b14920,21742.23
0e5400a9-4282-4e38-b46b-0e2524177b24,24128.23
2198f3ab-cf55-4849-8c15-24ec9a42f94c,19356.23
3a5d3f1c-edc3-4c3d-8551-4c8d25acda39,23001.23
ee6abd67-9ec0-4e63-b12b-62d80747ec32,18708.23
59c76599-be1d-44f7-943d-ba29ef3e05b1,15643.23
744e6672-a086-481a-a1fc-e052eeaa02f8,44101.23
dfda169b-3225-43ce-b535-b5654ca88e08,65745.23
c693ae03-28e4-4433-9ea0-807759076963,20461.23
